"icon","Title","colour","active","sortorder"
"how_to_reg","With SCIT","GhostWhite","False","1"
"how_to_reg","With Policy Area","GhostWhite","False","2"
"how_to_reg","Cleared by Policy Area","GhostWhite","False","3"
"how_to_reg","For Costing","GhostWhite","False","4"
"how_to_reg","Final QA Done","GhostWhite","False","5"
