"Title","Description","SortOrder","Colour","Icon"
"Budget","Budget??","999","red","category"
"First 100 days","First 100 days","999","red","category"
"First term","First term??","999","red","category"
"First year","First year??","999","red","category"
"Undefined","Undefined??","999","red","category"
