"Title","Description","SortOrder","Colour","Icon","Abbr","Leader","Position","Idealogy","Mps","Senators"
"Liberal Party of Australia",,"999","#0047AB",,"Liberal","Scott Morrison","Centre-right","Liberal conservatism Economic liberalism","<div class=""ExternalClass6372073936AA4307BDC5DAF880D11E94""><p>?45/150?<br></p></div>","<div class=""ExternalClassFF4EC85E96E6497390B8153A9F180E7A""><p>?22/76<br></p></div>"
"Australian Labor Party",,"999","#DE3533",,"Labor, ALP","Bill Shorten","Centre-left","Social democracy","<div class=""ExternalClass52D0FEC0A54543A29AEDCF581898366B""><p>?69/150<br></p></div>","<div class=""ExternalClassCB0C088FBA0D41C0853CCEDA33467DAF""><p>2?6/76<br></p></div>"
"Coalition",,"999","#DE3533",,"Coalition, ALP","Scott Morrison","Centre-right","NA","<div class=""ExternalClass52D0FEC0A54543A29AEDCF581898366B""><p>?75/150?</p></div>","<div class=""ExternalClassCB0C088FBA0D41C0853CCEDA33467DAF""><p>31/76<br></p></div>"
"National Party",,"999","#DE3533",,"Labor, ALP","Michael McCormack","Centre-right","NA","<div class=""ExternalClass52D0FEC0A54543A29AEDCF581898366B""><p>?16/150?</p></div>","<div class=""ExternalClassCB0C088FBA0D41C0853CCEDA33467DAF""><p>6/76?<br></p></div>"
