"Title","Description","SortOrder","Colour","Icon","Guid0"
"Door Stop","<div class=""ExternalClass6BA1A320D7B44DFB852FE59911F13905""><div>Door Stop?<br></div></div>","1","green","category","1"
"Press Release","<div class=""ExternalClassBA4A7966BA6443489F8AD8EFD10B1EBC""><p>Press Release?<br></p></div>","6","red","category","2"
"Launch Event","<div class=""ExternalClass66F099D4C24F475A9BE042DB491EA990""><p>Launch Event?<br></p></div>","3","yellow","category","3"
"Informal","<div class=""ExternalClass9085A894199C4DA79581085EB2BE20F5""><p>I?nformal<br></p></div>","2","pink","category","5"
"Speeches","<div class=""ExternalClassF7A7D8AE3B5E4DE9A1BC2D496A3AD307""><p>S?peeches?<br><br></p></div>","7","orange","category","6"
"Local announcement","<div class=""ExternalClass626E1965F01A405AA653D0696B097AF8""><p>Local announcement<br></p></div>","4","green","category","7"
"Policy document","<div class=""ExternalClass03529EF0783249A1A15B91F07584E6AE""><p>P?olicy document<br></p></div>","5","green","category","8"
