"Title","Description","SortOrder","Colour","Icon","Guid0"
"Door Stop","<div class=""ExternalClass6BA1A320D7B44DFB852FE59911F13905""><div>Door Stop?<br></div></div>","1","green","category","1"
"Press Release","<div class=""ExternalClassBA4A7966BA6443489F8AD8EFD10B1EBC""><p>Press Release?<br></p></div>","2","red","category","2"
"Launch Event","<div class=""ExternalClass66F099D4C24F475A9BE042DB491EA990""><p>Launch Event?<br></p></div>","3","yellow","category","3"
"Local","<div class=""ExternalClass8FA2D88D966B4C7FAA34DD2821A22852""><p>L?ocal<br></p></div>","4","blue","category","4"
"Informal","<div class=""ExternalClass9085A894199C4DA79581085EB2BE20F5""><p>I?nformal<br></p></div>","5","pink","category","5"
"Speech","<div class=""ExternalClassF7A7D8AE3B5E4DE9A1BC2D496A3AD307""><p>S?peech<br></p></div>","6","orange","category","6"
